method,example_index,example_id,session_index,dialogue_id,status,error,llm_call_count,llm_input_tokens,llm_output_tokens,llm_total_tokens,embedding_call_count,embedding_input_tokens,embedding_total_tokens,raw_session_input_tokens,extracted_memory_count,stored_memory_count_after_session,stored_memory_content_tokens_after_session,stored_memory_serialized_tokens_after_session,elapsed_seconds
mem0,0,dev_0003,1,15_00034,OK,,2,3191,531,3722,11,69,69,429,11,11,69,1189,17.258699893951416
mem0,0,dev_0003,2,2_00055,OK,,2,3378,808,4186,8,93,93,410,14,10,100,1127,22.454822540283203
mem0,0,dev_0003,3,15_00056,OK,,2,3289,951,4240,10,72,72,293,10,19,167,2111,27.13166117668152
mem0,0,dev_0003,4,15_00070,OK,,2,3361,878,4239,4,71,71,343,1,20,181,2224,24.41523051261902
mem0,0,dev_0003,5,11_00121,OK,,2,3576,1149,4725,12,98,98,459,12,30,270,3361,33.748109579086304
mem0,0,dev_0003,6,15_00100,OK,,2,3329,851,4180,4,44,44,280,4,34,314,3814,23.530091762542725
mem0,1,dev_0004,1,15_00038,OK,,2,3125,372,3497,7,54,54,383,7,7,54,770,11.893155574798584
mem0,1,dev_0004,2,15_00071,OK,,2,3331,557,3888,11,142,142,387,7,7,80,926,17.481630325317383
mem0,2,dev_0008,1,8_00097,OK,,2,3127,430,3557,8,73,73,376,8,8,73,900,13.52243447303772
mem0,2,dev_0008,2,9_00037,OK,,2,3273,692,3965,7,63,63,348,7,15,136,1689,20.611533164978027
mem0,2,dev_0008,3,9_00042,OK,,2,3488,898,4386,6,82,82,429,6,21,218,2382,25.37979745864868
mem0,2,dev_0008,4,9_00033,OK,,2,3437,1043,4480,7,68,68,320,7,28,286,3169,30.59086012840271
mem0,2,dev_0008,5,8_00058,OK,,2,3501,1030,4531,7,60,60,396,7,35,346,3941,29.118069410324097
mem0,3,dev_0009,1,9_00040,OK,,2,3011,268,3279,5,37,37,295,5,5,37,546,8.51085090637207
mem0,3,dev_0009,2,13_00014,OK,,2,3038,423,3461,5,34,34,245,5,10,71,1093,12.710551738739014
mem0,3,dev_0009,3,17_00074,OK,,2,3684,843,4527,11,89,89,663,11,18,141,2033,25.336830854415894
